IP,requests,downloads,downloadsPerRequests
5,24,0,0.0
6,289,1,0.0034602076124567475
9,1721,3,0.0017431725740848344
10,740,2,0.002702702702702703
19,669,3,0.004484304932735426
20,1892,2,0.0010570824524312897
25,446,2,0.004484304932735426
27,2303,4,0.0017368649587494573
31,382,2,0.005235602094240838
32,240,1,0.004166666666666667
33,90,0,0.0
36,2335,3,0.001284796573875803
39,425,1,0.002352941176470588
45,1997,2,0.00100150225338007
52,534,1,0.0018726591760299626
59,2000,4,0.002
60,670,2,0.0029850746268656717
61,719,1,0.0013908205841446453
62,396,0,0.0
63,1361,2,0.0014695077149155032
81,519,0,0.0
83,831,3,0.0036101083032490976
85,838,1,0.0011933174224343676
88,1795,0,0.0
92,2622,3,0.0011441647597254005
93,588,0,0.0
95,1176,1,0.0008503401360544217
104,204,0,0.0
107,64,0,0.0
113,112,1,0.008928571428571428
114,128,1,0.0078125
117,1914,1,0.0005224660397074191
120,1735,5,0.002881844380403458
122,2794,2,0.0007158196134574087
124,209,2,0.009569377990430622
126,1367,2,0.001463057790782736
127,363,1,0.0027548209366391185
133,1469,4,0.002722940776038121
138,86,0,0.0
147,1576,3,0.0019035532994923859
150,847,1,0.0011806375442739079
151,1297,4,0.0030840400925212026
165,1078,1,0.0009276437847866419
167,790,3,0.0037974683544303796
169,718,0,0.0
174,505,3,0.005940594059405941
176,592,2,0.0033783783783783786
177,1241,3,0.0024174053182917004
178,587,0,0.0
188,32,1,0.03125
190,120,0,0.0
195,857,1,0.0011668611435239206
196,1807,3,0.0016602102933038186
198,2506,5,0.0019952114924181963
203,1225,4,0.0032653061224489797
206,480,1,0.0020833333333333333
209,2822,3,0.0010630758327427356
211,36,0,0.0
212,1046,1,0.0009560229445506692
219,811,3,0.0036991368680641184
220,1617,3,0.0018552875695732839
222,2671,5,0.0018719580681392737
226,201,0,0.0
231,2893,1,0.0003456619426201175
232,631,2,0.003169572107765452
234,513,1,0.001949317738791423
235,1027,2,0.0019474196689386564
240,134,0,0.0
244,42,0,0.0
246,1363,4,0.00293470286133529
247,977,3,0.0030706243602865915
